model_name,quantity_id,quantity_name,tool_regime,n_successful_runs,n_quantile_repaired_runs,pooled_point_estimate,pooled_lower_bound,pooled_upper_bound,within_run_sd,between_run_sd,total_sd,n_requests,mean_batch_size,usage_prompt_tokens_total,usage_completion_tokens_total,usage_total_tokens_total,usage_cached_prompt_tokens_total,usage_reasoning_tokens_total,usage_estimated_input_cost_usd_total,usage_estimated_cached_input_cost_usd_total,usage_estimated_output_cost_usd_total,usage_estimated_tool_cost_usd_total,usage_estimated_total_cost_usd_total,usage_total_tokens_per_successful_run,usage_estimated_total_cost_usd_per_successful_run,tool_call_count_total,web_search_call_count_total,code_interpreter_call_count_total,pool_transform,reml_latent_location,reml_latent_lower,reml_latent_upper,reml_predictive_lower,reml_predictive_upper,reml_tau,reml_typical_within_sd,bayes_latent_location,bayes_latent_lower,bayes_latent_upper,bayes_predictive_lower,bayes_predictive_upper,bayes_tau_mean,bayes_interval_scale_mean,bayes_typical_within_sd
gemini-3.1-flash-lite-preview,household.annual_discount_factor,Annual discount factor,none,15,0,0.9599999999999999,0.9040932850824286,0.9892307692307691,0.12502653884942455,0.0,0.12502653884942455,15,1.0,5235,6042,11277,,1833,,,,,0.010371749999999999,751.8,0.0006914499999999999,,,,bounded_logit,0.96,0.9508666079621579,0.9674936296265755,0.9055409488571331,0.983629068676021,0.0,0.021423918251424177,0.96,0.9552671699348896,0.9642508258590415,0.9350980362729361,0.9755967774112749,0.0007188923761687626,0.29034069732368906,0.0115439080884328
gemini-3.1-flash-lite-preview,household.intertemporal_elasticity_of_substitution,Intertemporal elasticity of substitution,none,15,0,0.5,0.09999999999999998,1.4308860759493682,0.6874439371080864,0.0,0.6874439371080864,15,1.0,5730,5812,11542,,1779,,,,,0.0101505,769.4666666666667,0.0006767,,,,bounded_logit,0.5000000000000001,0.3624303279795161,0.6821073607042061,0.13800215849851255,1.5155690460863414,0.0,0.37335836648548426,0.5000000000000001,0.42053866763985565,0.5925329636051142,0.24615220819518832,0.9626222625302274,0.013333635251737605,0.2903247008223201,0.20117216108981448
gemini-3.1-flash-lite-preview,household.relative_risk_aversion.crra,Coefficient of relative risk aversion,none,15,0,2.0,0.4999999999999998,10.000000000000046,6.898110480011497,0.0,6.898110480011497,15,1.0,5280,5648,10928,,1755,,,,,0.009792,728.5333333333333,0.0006528,,,,bounded_logit,1.9999999999999998,1.337106054927823,2.971467732217012,0.4116270507933685,8.648564990746308,0.0,1.8832149993915537,2.000000000000001,1.6092505812202424,2.480765023602033,0.8307062911789703,4.659217631030186,0.06729398296739486,0.29032455135013946,1.0147096401399922
gemini-3.1-flash-lite-preview,labor_supply.extensive_margin.single_mothers,Employment participation elasticity of single mothers,none,15,0,0.5633333333333332,0.10427060354092424,1.4763917275730147,0.7143907417824257,0.08459051693633013,0.7193814617433507,15,1.0,5655,6132,11787,,1872,,,,,0.010611750000000001,785.8,0.0007074500000000001,,,,bounded_logit,0.5437584034788137,0.4137623424285608,0.6813255894453247,0.06588702613172726,1.14283059741062,0.0,0.32920691144799813,0.5441556592544718,0.4704811680159684,0.6203611458093894,0.2533049857228711,0.8759904074598039,0.01344505481527045,0.30864933334858596,0.1829256645210834
gemini-3.1-flash-lite-preview,labor_supply.frisch_elasticity.prime_age,Frisch elasticity of labor supply,none,15,0,0.4033333333333334,0.08214285714285713,1.1811026364060506,1.2716593490396713,0.028674417556808756,1.2719825950940613,15,1.0,5835,6448,12283,,1912,,,,,0.01113075,818.8666666666667,0.00074205,,,,bounded_logit,0.4025887955548551,0.2978644465037077,0.5420753770637768,0.12086876789142481,1.257367029759294,0.0,0.2894337050387853,0.40258904422487296,0.3419533737123146,0.4734496769319804,0.20599440775090097,0.7720179693402113,0.010335479620310551,0.2918442032293253,0.15635972459538225
gemini-3.1-flash-lite-preview,labor_supply.income_elasticity.prime_age,Income elasticity of labor supply,none,15,0,-0.05333333333333334,-0.23409090909090924,0.009049773755655792,0.2948578989200655,0.012472191289246471,0.29512156158286895,15,1.0,6885,6105,12990,,1768,,,,,0.01087875,866.0,0.00072525,,,,bounded_logit,-0.05133249868807477,-0.07104425295990202,-0.03178947500111873,-0.13090509843000708,0.025560160237876772,0.0,0.04760018157825098,-0.051348626889425875,-0.062166421682679385,-0.04058768153944614,-0.096105341213363,-0.007457939949222725,0.0022630792089081463,0.29704191585126793,0.025943020925001364
gemini-3.1-flash-lite-preview,labor_supply.marshallian_wage_elasticity.prime_age,Uncompensated wage elasticity of labor supply,none,15,0,0.05,-0.10000000000000087,0.2999231950844853,0.5975236803768627,0.0,0.5975236803768627,15,1.0,5775,6218,11993,,1807,,,,,0.010770749999999999,799.5333333333333,0.0007180499999999999,,,,bounded_logit,0.04999999999999982,0.001955100071138194,0.09859269857618358,-0.13409759371262764,0.2424090325275845,0.0,0.11457996126242524,0.04999999999999982,0.023831003006567375,0.07633067528779947,-0.05432457523190859,0.1569423914933452,0.005138898080954667,0.29055512847583365,0.06176222650876131
gemini-3.1-flash-lite-preview,labor_supply.policy_response.substitution_elasticity.all,Substitution elasticity of labor supply in a tax-benefit simulation,none,15,0,0.15333333333333332,0.011764705882352934,0.5749913803011131,0.6374408469288216,0.04268749491621899,0.6388685745562663,15,1.0,6300,6731,13031,,1908,,,,,0.0116715,868.7333333333333,0.0007781,,,,bounded_logit,0.1580326787183446,0.10908827790181932,0.22791354513926385,0.00024413513741615935,4.780852393463087,0.0,0.6052186901735981,0.15807163965793453,0.12853866228499855,0.19414711465724685,0.004681453775252614,2.6606112115891705,0.008044046406729535,0.29787869645495496,0.33039663509968953
gemini-3.1-flash-lite-preview,labor_supply.policy_response.substitution_elasticity.primary.decile_1,"Primary-earner substitution elasticity in a tax-benefit simulation, decile 1",none,15,0,0.05,0.0011111111111111096,0.19987146529562977,0.63509685285002,0.0,0.63509685285002,15,1.0,6285,6212,12497,,1860,,,,,0.01088925,833.1333333333333,0.00072595,,,,bounded_logit,0.05000000000000001,0.02422830889966178,0.10261970992319396,1.6565517891438306e-05,4.842747111209773,0.0,0.24142807777786102,0.04999999999999997,0.033085560185258295,0.07543034294984224,0.0006541918027341793,2.190566517007549,0.004995034286426347,0.2904821507331379,0.13012103297848301
gemini-3.1-flash-lite-preview,labor_supply.policy_response.substitution_elasticity.primary.decile_10,"Primary-earner substitution elasticity in a tax-benefit simulation, decile 10",none,15,0,0.14266666666666666,0.020394736842105257,0.4852342329745536,0.6339889041265278,0.03957552554574888,0.6352229158159974,15,1.0,6345,6792,13137,,1910,,,,,0.01177425,875.8,0.00078495,,,,bounded_logit,0.13826542553647,0.09952805006765561,0.1914906512659603,0.036262332989344254,0.49838620390588295,0.0,0.11109076889241574,0.1381985570928143,0.11354820840767768,0.1679803282890766,0.06083192188306761,0.30776920458766555,0.005759196793666589,0.3505418799564675,0.06574213679647045
