provider,model_name,quantity_id,request_index,prompt_version,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,usage
openai_chat_completions,gpt-5.4,household.intertemporal_elasticity_of_substitution,1,v2,8,chatcmpl-DRNT4PY1CFF9fo6REryT6ATuwZfHS,469,1692,2161,0,0,0.0011725,0.0,0.02538,0.0265525,"{""completion_tokens"": 1692, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 469, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2161}"
openai_chat_completions,gpt-5.4,household.intertemporal_elasticity_of_substitution,2,v2,7,chatcmpl-DRNT96q8PF8LUdjgpfc4Pg2ROgeHj,469,1518,1987,0,0,0.0011725,0.0,0.02277,0.0239425,"{""completion_tokens"": 1518, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 469, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1987}"
openai_chat_completions,gpt-5.4,labor_supply.extensive_margin.single_mothers,3,v2,8,chatcmpl-DRNTFPWi1qM2PVEVbQmVnzHSUOn0j,461,1757,2218,0,0,0.0011525,0.0,0.026355,0.0275075,"{""completion_tokens"": 1757, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 461, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2218}"
openai_chat_completions,gpt-5.4,labor_supply.extensive_margin.single_mothers,4,v2,7,chatcmpl-DRNTKYHDIeiAoUYrZGfTXwsWLcDWl,461,1549,2010,0,0,0.0011525,0.0,0.023235,0.0243875,"{""completion_tokens"": 1549, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 461, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2010}"
openai_chat_completions,gpt-5.4,labor_supply.frisch_elasticity.prime_age,5,v2,8,chatcmpl-DRNTQjWQTbtrDfWC6jjfdz8nxGBs0,471,1625,2096,0,0,0.0011775,0.0,0.024375,0.025552500000000002,"{""completion_tokens"": 1625, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 471, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2096}"
openai_chat_completions,gpt-5.4,labor_supply.frisch_elasticity.prime_age,6,v2,7,chatcmpl-DRNTVCQ80PcywHjreoJnJpEGAsIUr,471,1378,1849,0,0,0.0011775,0.0,0.02067,0.021847500000000002,"{""completion_tokens"": 1378, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 471, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1849}"
openai_chat_completions,gpt-5.4,labor_supply.income_elasticity.prime_age,7,v2,8,chatcmpl-DRNTZMwuom8jGcfetK6EPOPPtNfkh,462,1700,2162,0,0,0.001155,0.0,0.0255,0.026654999999999998,"{""completion_tokens"": 1700, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 462, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2162}"
openai_chat_completions,gpt-5.4,labor_supply.income_elasticity.prime_age,8,v2,7,chatcmpl-DRNTfbf8oBP4Y9rZ42EHCR6xJcoVy,462,1495,1957,0,0,0.001155,0.0,0.022425,0.02358,"{""completion_tokens"": 1495, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 462, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1957}"
openai_chat_completions,gpt-5.4,labor_supply.marshallian_wage_elasticity.prime_age,9,v2,8,chatcmpl-DRNTj4yD5Uh8YOvQINdKtqAFUNwhn,466,1785,2251,0,0,0.001165,0.0,0.026775,0.02794,"{""completion_tokens"": 1785, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 466, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2251}"
openai_chat_completions,gpt-5.4,labor_supply.marshallian_wage_elasticity.prime_age,10,v2,7,chatcmpl-DRNTps5cTbP1V5kUl9MaZDKcF61Rk,466,1533,1999,0,0,0.001165,0.0,0.022995,0.02416,"{""completion_tokens"": 1533, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 466, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 1999}"
