provider,model_name,quantity_id,request_index,prompt_version,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,usage
openai_chat_completions,gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,1,v1,8,chatcmpl-DRJncgy3qSsxhBDUwAVFOEBjKQTP7,516,1946,2462,0,0,0.000387,0.0,0.008757,0.009144,"{""completion_tokens"": 1946, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 516, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2462}"
openai_chat_completions,gpt-5.4-mini,household.intertemporal_elasticity_of_substitution,2,v1,7,chatcmpl-DRJnfnLtxNkOOjBGZwik4I4sTgHhI,516,1785,2301,0,0,0.000387,0.0,0.0080325,0.0084195,"{""completion_tokens"": 1785, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 516, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2301}"
openai_chat_completions,gpt-5.4-mini,labor_supply.extensive_margin.single_mothers,3,v1,8,chatcmpl-DRJniPglXdAMm5HyiMUjC8d6uPM0r,505,2014,2519,0,0,0.00037875,0.0,0.009063,0.00944175,"{""completion_tokens"": 2014, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 505, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2519}"
openai_chat_completions,gpt-5.4-mini,labor_supply.extensive_margin.single_mothers,4,v1,7,chatcmpl-DRJnl3B29SnjNFcUjT7R0wL7HUFFv,505,1667,2172,0,0,0.00037875,0.0,0.0075015,0.00788025,"{""completion_tokens"": 1667, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 505, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2172}"
openai_chat_completions,gpt-5.4-mini,labor_supply.frisch_elasticity.prime_age,5,v1,8,chatcmpl-DRJnnS1AHC6jDedLR6QyeZYlbrqjT,523,1988,2511,0,0,0.00039225,0.0,0.008946,0.009338250000000001,"{""completion_tokens"": 1988, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 523, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2511}"
openai_chat_completions,gpt-5.4-mini,labor_supply.frisch_elasticity.prime_age,6,v1,7,chatcmpl-DRJnq5NMlQOmCQ0x7qerufeUOmDTJ,523,1689,2212,0,0,0.00039225,0.0,0.0076005,0.00799275,"{""completion_tokens"": 1689, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 523, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2212}"
openai_chat_completions,gpt-5.4-mini,labor_supply.income_elasticity.prime_age,7,v1,8,chatcmpl-DRJntp5mpVi86jJKz2Lj1yl0VLe8v,509,1816,2325,0,0,0.00038175,0.0,0.008172,0.00855375,"{""completion_tokens"": 1816, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 509, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2325}"
openai_chat_completions,gpt-5.4-mini,labor_supply.income_elasticity.prime_age,8,v1,7,chatcmpl-DRJnx5oS6rxFyvdsJ1SPwvw6AxxN0,509,1664,2173,0,0,0.00038175,0.0,0.007488,0.00786975,"{""completion_tokens"": 1664, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 509, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2173}"
openai_chat_completions,gpt-5.4-mini,labor_supply.marshallian_wage_elasticity.prime_age,9,v1,8,chatcmpl-DRJnzmptYefh57NqECWkJjvszCFlw,519,1923,2442,0,0,0.00038925,0.0,0.0086535,0.00904275,"{""completion_tokens"": 1923, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 519, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2442}"
openai_chat_completions,gpt-5.4-mini,labor_supply.marshallian_wage_elasticity.prime_age,10,v1,7,chatcmpl-DRJo2iu4JmI6GHf4vm9xY5pHVoKKI,519,1667,2186,0,0,0.00038925,0.0,0.0075015,0.00789075,"{""completion_tokens"": 1667, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 519, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2186}"
