provider,model_name,quantity_id,request_index,prompt_version,batch_size,request_id,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,reasoning_tokens,estimated_input_cost_usd,estimated_cached_input_cost_usd,estimated_output_cost_usd,estimated_total_cost_usd,usage
openai_chat_completions,gpt-5.4-nano,household.intertemporal_elasticity_of_substitution,1,v1,8,chatcmpl-DRJnc9vJ9T2O5tZG3R0mi910UweKf,516,1815,2331,0,0,0.0001032,0.0,0.00226875,0.00237195,"{""completion_tokens"": 1815, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 516, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2331}"
openai_chat_completions,gpt-5.4-nano,household.intertemporal_elasticity_of_substitution,2,v1,7,chatcmpl-DRJneXrVMi2Wd1wjGsQ6zFtrclvpz,516,1661,2177,0,0,0.0001032,0.0,0.00207625,0.00217945,"{""completion_tokens"": 1661, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 516, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2177}"
openai_chat_completions,gpt-5.4-nano,labor_supply.extensive_margin.single_mothers,3,v1,8,chatcmpl-DRJnhNBswnhSgwKDurMgWezSV7KhJ,505,1764,2269,0,0,0.000101,0.0,0.002205,0.002306,"{""completion_tokens"": 1764, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 505, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2269}"
openai_chat_completions,gpt-5.4-nano,labor_supply.extensive_margin.single_mothers,4,v1,7,chatcmpl-DRJnkcT9JYNtkMNyYDf6Mr2C11617,505,1570,2075,0,0,0.000101,0.0,0.0019625,0.0020635,"{""completion_tokens"": 1570, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 505, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2075}"
openai_chat_completions,gpt-5.4-nano,labor_supply.frisch_elasticity.prime_age,5,v1,8,chatcmpl-DRJnmOfw37EGUMMINCY6JsIkTF804,523,1892,2415,0,0,0.00010460000000000001,0.0,0.002365,0.0024695999999999997,"{""completion_tokens"": 1892, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 523, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2415}"
openai_chat_completions,gpt-5.4-nano,labor_supply.frisch_elasticity.prime_age,6,v1,7,chatcmpl-DRJno525EJg4F09UdTGQPkvcNE2Nj,523,1702,2225,0,0,0.00010460000000000001,0.0,0.0021275,0.0022321,"{""completion_tokens"": 1702, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 523, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2225}"
openai_chat_completions,gpt-5.4-nano,labor_supply.income_elasticity.prime_age,7,v1,8,chatcmpl-DRJnrMt8w62qspKkr7EPkQQNWhcdc,509,1788,2297,0,0,0.00010180000000000001,0.0,0.002235,0.0023368,"{""completion_tokens"": 1788, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 509, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2297}"
openai_chat_completions,gpt-5.4-nano,labor_supply.income_elasticity.prime_age,8,v1,7,chatcmpl-DRJnuk6dGwLUnzIffEQVFNGbTLjCn,509,1616,2125,0,0,0.00010180000000000001,0.0,0.00202,0.0021218,"{""completion_tokens"": 1616, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 509, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2125}"
openai_chat_completions,gpt-5.4-nano,labor_supply.marshallian_wage_elasticity.prime_age,9,v1,8,chatcmpl-DRJnxmJjzhq7fbquPVHgjDGrePgCc,519,1920,2439,0,0,0.00010380000000000002,0.0,0.0024,0.0025037999999999996,"{""completion_tokens"": 1920, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 519, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2439}"
openai_chat_completions,gpt-5.4-nano,labor_supply.marshallian_wage_elasticity.prime_age,10,v1,7,chatcmpl-DRJo0V6TogUDglPT9yryqzuRAsz0T,519,1554,2073,0,0,0.00010380000000000002,0.0,0.0019425,0.0020463,"{""completion_tokens"": 1554, ""completion_tokens_details"": {""accepted_prediction_tokens"": 0, ""audio_tokens"": 0, ""reasoning_tokens"": 0, ""rejected_prediction_tokens"": 0}, ""prompt_tokens"": 519, ""prompt_tokens_details"": {""audio_tokens"": 0, ""cached_tokens"": 0}, ""total_tokens"": 2073}"
