source_label,model_name,quantity_id,n_successful_runs,pooled_point_estimate,pooled_90_interval,reml_predictive_90_interval,bayes_predictive_90_interval,usage_total_tokens_per_successful_run,usage_estimated_total_cost_usd_per_successful_run,source_dir
claude-haiku-4.5-elasticities-batch15,claude-haiku-4.5,household.intertemporal_elasticity_of_substitution,15,0.5,"[0.2073, 1.181]","[0.2317, 1.013]","[0.3273, 0.7493]",1603.2,0.0031320000000000002,/Users/maxghenis/llm-econ-beliefs/results/claude-haiku-4.5-elasticities-batch15
claude-haiku-4.5-elasticities-batch15,claude-haiku-4.5,labor_supply.extensive_margin.single_mothers,15,0.45,"[0.07306, 1.243]","[0.0544, 0.8474]","[0.1795, 0.6783]",1555.6666666666667,0.0029543333333333336,/Users/maxghenis/llm-econ-beliefs/results/claude-haiku-4.5-elasticities-batch15
claude-haiku-4.5-elasticities-batch15,claude-haiku-4.5,labor_supply.frisch_elasticity.prime_age,15,0.2733333333333333,"[0.05361, 0.9633]","[0.08102, 0.8652]","[0.1353, 0.5336]",1616.3333333333333,0.003181666666666667,/Users/maxghenis/llm-econ-beliefs/results/claude-haiku-4.5-elasticities-batch15
claude-haiku-4.5-elasticities-batch15,claude-haiku-4.5,labor_supply.income_elasticity.prime_age,15,-0.11066666666666666,"[-0.3475, 0.09024]","[-0.2676, 0.04884]","[-0.1998, -0.01298]",1586.8,0.003078,/Users/maxghenis/llm-econ-beliefs/results/claude-haiku-4.5-elasticities-batch15
claude-haiku-4.5-elasticities-batch15,claude-haiku-4.5,labor_supply.marshallian_wage_elasticity.prime_age,15,0.13666666666666666,"[-0.09098, 0.4449]","[-0.05297, 0.3373]","[0.02644, 0.2525]",1597.8666666666666,0.0031053333333333336,/Users/maxghenis/llm-econ-beliefs/results/claude-haiku-4.5-elasticities-batch15
claude-haiku-4.5-elasticities-batch15,claude-haiku-4.5,labor_supply.policy_response.income_elasticity,15,0.1,"[-0.2995, 0.4815]","[-0.2158, 0.3036]","[-0.148, 0.2627]",1592.6666666666667,0.0030193333333333335,/Users/maxghenis/llm-econ-beliefs/results/claude-haiku-4.5-elasticities-batch15
claude-haiku-4.5-elasticities-batch15,claude-haiku-4.5,labor_supply.policy_response.substitution_elasticity.all,15,0.24666666666666667,"[0.05786, 0.6486]","[0.08018, 0.6958]","[0.1316, 0.4441]",1635.7333333333333,0.003158666666666667,/Users/maxghenis/llm-econ-beliefs/results/claude-haiku-4.5-elasticities-batch15
claude-haiku-4.5-elasticities-batch15,claude-haiku-4.5,labor_supply.policy_response.substitution_elasticity.primary.decile_1,15,0.23666666666666666,"[0.03983, 0.807]","[0.06005, 0.7884]","[0.1052, 0.4791]",1625.0,0.0031050000000000006,/Users/maxghenis/llm-econ-beliefs/results/claude-haiku-4.5-elasticities-batch15
claude-haiku-4.5-elasticities-batch15,claude-haiku-4.5,labor_supply.policy_response.substitution_elasticity.primary.decile_10,15,0.24000000000000002,"[0.04623, 0.6829]","[0.06835, 0.7763]","[0.1188, 0.4735]",1620.4666666666667,0.0030823333333333336,/Users/maxghenis/llm-econ-beliefs/results/claude-haiku-4.5-elasticities-batch15
claude-haiku-4.5-elasticities-batch15,claude-haiku-4.5,labor_supply.policy_response.substitution_elasticity.primary.decile_2,15,0.2033333333333333,"[0.0317, 0.6679]","[0.05398, 0.7002]","[0.09437, 0.4227]",1630.1333333333334,0.0031306666666666666,/Users/maxghenis/llm-econ-beliefs/results/claude-haiku-4.5-elasticities-batch15
